"Mengarini, Ariel",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Mengarini, Ariel",0
"Fischer, Robert James",0,"Saltzberg, Mitchell",0
"Fischer, Robert James",0,"Saltzberg, Mitchell",0
"Fischer, Robert James",0,"Gardner, C.",0
"Fischer, Robert James",0,"Gardner, C.",0
"Fischer, Robert James",0,"Elo, Arpad",0
"Fischer, Robert James",0,"Elo, Arpad",0
"Fischer, Robert James",0,"Donnelly, W.",0
"Fischer, Robert James",0,"Donnelly, W.",0
"Kalme, Charles I",0,"Fischer, Robert James",0
"Kalme, Charles I",0,"Fischer, Robert James",0
"Otteson, M.",0,"Fischer, Robert James",0
"Otteson, M.",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Fauber, R.",0
"Fischer, Robert James",0,"Fauber, R.",0
"Fischer, Robert James",0,"Buerger, E.",0
"Fischer, Robert James",0,"Buerger, E.",0
"Fischer, Robert James",0,"Kampars, N.",0
"Kampars, N.",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Surgies, M.",0
"Fischer, Robert James",0,"Surgies, M.",0
"Fischer, Robert James",0,"Sandrin, Angelo",0
"Fischer, Robert James",0,"Sandrin, Angelo",0
"Fischer, Robert James",0,"Weinberger, Tibor",0
"Fischer, Robert James",0,"Weinberger, Tibor",0
"Fischer, Robert James",0,"Harrow, M.",0
"Harrow, M.",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Marchand, Erich Watkinson",0
"Fischer, Robert James",0,"Marchand, Erich Watkinson",0
"Fischer, Robert James",0,"Hearst, Eliot Sanford",0
"Fischer, Robert James",0,"Hearst, Eliot Sanford",0
"Fischer, Robert James",0,"Cardoso, Radolfo Tan",0
"Fischer, Robert James",0,"Cardoso, Radolfo Tan",0
"Fischer, Robert James",0,"Feuerstein, Arthur William",0
"Fischer, Robert James",0,"Feuerstein, Arthur William",0
"Euwe, Max",0,"Fischer, Robert James",0
"Euwe, Max",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Euwe, Max",0
"Euwe, Max",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Cardoso, Radolfo Tan",0
"Fischer, Robert James",0,"Cardoso, Radolfo Tan",0
"Seidman, Herbert",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Seidman, Herbert",0
"Fischer, Robert James",0,"Reshevsky, Samuel Herman",0
"Reshevsky, Samuel Herman",0,"Fischer, Robert James",0
"Cardoso, Radolfo Tan",0,"Fischer, Robert James",0
"Cardoso, Radolfo Tan",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Cardoso, Radolfo Tan",0
"Fischer, Robert James",0,"Cardoso, Radolfo Tan",0
"Fischer, Robert James",0,"Bernstein, Sidney Norman",0
"Fischer, Robert James",0,"Bernstein, Sidney Norman",0
"Fischer, Robert James",0,"Bisguier, Arthur Bernard",0
"Fischer, Robert James",0,"Bisguier, Arthur Bernard",0
"Fischer, Robert James",0,"Cardoso, Radolfo Tan",0
"Fischer, Robert James",0,"Cardoso, Radolfo Tan",0
"Berliner, Hans Jack",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Berliner, Hans Jack",0
"Fischer, Robert James",0,"Cardoso, Radolfo Tan",0
"Cardoso, Radolfo Tan",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Sherwin, James T",0
"Fischer, Robert James",0,"Sherwin, James T",0
"Cardoso, Radolfo Tan",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Cardoso, Radolfo Tan",0
"Fischer, Robert James",0,"Kramer, George Mortimer",0
"Fischer, Robert James",0,"Kramer, George Mortimer",0
"Fischer, Robert James",0,"Cardoso, Radolfo Tan",0
"Fischer, Robert James",0,"Cardoso, Radolfo Tan",0
"Fischer, Robert James",0,"Mednis, Edmar John",0
"Fischer, Robert James",0,"Mednis, Edmar John",0
"Fischer, Robert James",0,"Lombardy, William James",0
"Fischer, Robert James",0,"Lombardy, William James",0
"Fischer, Robert James",0,"Di Camillo, Attilio",0
"Fischer, Robert James",0,"Di Camillo, Attilio",0
"Denker, Arnold S",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Denker, Arnold S",0
"Fischer, Robert James",0,"Turner, Abe",0
"Turner, Abe",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Sholomson, S.",0
"Fischer, Robert James",0,"Sholomson, S.",0
"Fischer, Robert James",0,"Schoene, A.",0
"Fischer, Robert James",0,"Schoene, A.",0
"Fischer, Robert James",0,"Thacker, R.",0
"Fischer, Robert James",0,"Thacker, R.",0
"Fischer, Robert James",0,"Walker, RG.",0
"Fischer, Robert James",0,"Walker, RG.",0
"Ramirez, Gilbert",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Ramirez, Gilbert",0
"Fischer, Robert James",0,"Haines, W.",0
"Fischer, Robert James",0,"Haines, W.",0
"Fischer, Robert James",0,"Hill, L.",0
"Fischer, Robert James",0,"Hill, L.",0
"Fischer, Robert James",0,"Bredoff, M.",0
"Fischer, Robert James",0,"Bredoff, M.",0
"Fischer, Robert James",0,"Bennett, J1.",0
"Fischer, Robert James",0,"Bennett, J1.",0
"Fischer, Robert James",0,"Mednis, Edmar John",0
"Fischer, Robert James",0,"Mednis, Edmar John",0
"Bisguier, Arthur Bernard",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Bisguier, Arthur Bernard",0
"Fischer, Robert James",0,"Byrne, Donald",0
"Fischer, Robert James",0,"Byrne, Donald",0
